score,title,teacher,url,overview_outline,overview_goal,overview_en,teaching_plan,idx
0.4684,COT300XE（計算基盤 / Computing technologies 300）信号処理理論／Thery of Signal Processing,周　金佳（Jinjia ZHOU）,https://syllabus.hosei.ac.jp/web/preview.php?no_id=2513883&nendo=2025&gakubueng=AP&t_mode=pc&radd=,広く使われているPythonを活用して、信号処理の基本的な概念を学ぶ。 連続信号の離散化で重要な役割を演ずるサンプリング定理の証明から始めてデジタル信号の各種処理方法を系統的に学ぶ。,サンプリング定理の意味と数学的な証明を理解する。 ＡＤ変換の原理を理解し、アナログ信号のデジタル化の実際を理解する。 フーリエ変換、離散時間フーリエ変換、離散フーリエ変換を理解する。 線形時不変システム（LTI）、LTIシステムにおけるインパルス応答とたたみ込み演算を理解する。,"【Outline (in English)】 This course introduces digital signal processing principles　using Python. Starting from Shannon's sampling theorem, important digital signal processing methods will be introduced. Project assignment of the real data analysis will deepen students' understanding of the subject. Before/after each class meeting, students will be expected to spend one hours understanding the course content. The final grade will be calculated based on the following components: reports (50%), midterm examination (10%), final examination (30%), and in-class participation (10%).
【Default language used in class】 日本語 / Japanese",導入 / 信号と信号処理 / Pythonでの信号処理 / フーリエ解析1 / フーリエ解析２ / サンプリング定理 / サンプリング定理の演習 / 中間的なまとめと、理解度の確認 / 離散時間信号のフーリエ解析 / 離散時間信号のフーリエ解析の演習 / 畳み込み定理 / 畳み込み定理の演習 / 線形時不変システム / 線形時不変システムの演習,106
0.4136,COT300XE（計算基盤 / Computing technologies 300）コンパイラ演習／Exercise in Compiler,和佐　州洋（Kunihiro WASA）,https://syllabus.hosei.ac.jp/web/preview.php?no_id=2513818&nendo=2025&gakubueng=AP&t_mode=pc&radd=,コンパイラは，コンピュータを利用する上で必要不可欠なソフトウェアのひとつであり，計算機科学におけるさまざまな知識が盛り込まれている．本講義では，比較的単純な言語に対するコンパイラを実際に作成することで，コンパイラの各構成要素を理解することを目的とする．,(1) コンパイラを全体を構成できること． (2) 字句解析プログラムを実装できること． (3) 構文解析プログラムを実装できること． (4) コード生成とそれを実行できるプログラムを実装できること．,"【Outline (in English)】 This course introduces students to the design of compilers for programming languages. In particular, students will learn how to implement each component of compilers for a variant of PL/0 as an example. By the end of this course, students should be able to do the following: (1) Students can implement a compiler for a simple computer language. (2) Students can implement a lexical analyzer. (3) Students can implement a syntax analyzer. (4) Students can implement a code generator. Before/after each class meeting, students will be expected to spend four hours to understand the course content. Your overall grade in the class will be decided based on the following A compiler built in the course: 60%, Term-end report: 40%.
【Default language used in class】 日本語 / Japanese",導入 / 簡単なコンパイラの作成 / ステップ1 / ステップ2 / ステップ３ / ステップ4 / 前半のまとめ / ステップ5 / ステップ6 / ステップ7 / ステップ8 / ステップ9 / 動作確認 / まとめ,41
0.4084,COT100XE（計算基盤 / Computing technologies 100）プログラミング言語Ｃ＋＋／Programming Language C++,彌冨　仁（Hitoshi IYATOMI）,https://syllabus.hosei.ac.jp/web/preview.php?no_id=2513533&nendo=2025&gakubueng=AP&t_mode=pc&radd=,C言語既修者を対象に、オブジェクト指向の要素を取り入れたC++言語の基礎を学び、与えられた問題を論理的な構造の中で捉え、プログラムを作成することで解決できるような素養を身につける。,C言語からC++言語への重要な差分である、オブジェクト指向（カプセル化、ポリモーフィズム、継承）について理解する。またC言語と異なるプログラム作成方針、書式について理解し、それらを用いたC++プログラム作成能力を養成することを目標とする。,"【Outline (in English)】 【outline and objectives】 The prerequisite subject of this course is C language. In this course, you will learn the basics of C++ language incorporating object-oriented programming. You will grasp the given problem in the logical structure and will acquire the ability to solve those problems. 【method】 For those who have already mastered C, this lecture will focus on understanding the concept of object-oriented programming and the differences between C++ and C. The lecture will include explanations followed by exercises. Classes could be online. Changes in the lecture plan due to this shift will be announced on the learning support system. 【goal】 To understand object-oriented programming (encapsulation, polymorphism, inheritance), which is an important difference from C to C++. In addition, students will gain an understanding of program creation policies and formats that differ from the C language, and develop the ability to create C++ programs using these policies and formats. 【learning outside the classroom】 Complete the homework assigned almost every class. Read the textbook and handouts carefully to confirm what will be covered in the next class. Although the scope of the C language is not covered in the class, it is assumed that the students have a good understanding of it, so review the material as necessary. 【grading criteria】 Each assignment (40%) Final exam (60%)
【Default language used in class】 日本語 / Japanese",導入 / クラスの概要 / クラスの詳細 / 配列・ポインタ / 参照 / 関数オーバーロード / 演算子オーバーロード / 継承 / テンプレートと例外処理 / 標準テンプレートライブラリ (STL) / 仮想関数 (virtual function) / 実行型情報とキャスト演算子、名前空間、変換関数、その他の機能 / ・初期化子リスト(C++11)・オブジェクト指向プログラミングの例 / まとめ,0
0.406,HUI200XE（人間情報学 / Human informatics 200）データサイエンス2／Data Science 2,周　金佳（Jinjia ZHOU）,https://syllabus.hosei.ac.jp/web/preview.php?no_id=2513888&nendo=2025&gakubueng=AP&t_mode=pc&radd=,本講義ではpython（実行環境はgoogle colaboratory）を用いて、データサイエンスの基礎を学ぶ。具体的には、各種ライブラリを用いてデータ可視化、データ分析手法（統計手法、機械学習）を学ぶ。,1.データ分析の流れとデータの前処理を理解する。 2.データ可視化手法（ヒストグラム、箱ひげ図、散布図など）を理解する。 3.データ分析手法（回帰分析、分類、クラスタリング）を理解する。 4.機械学習の基本を理解する 5.データ分析の評価方法を理解する。,"【Outline (in English)】 This course introduces the fundamentals of data science using Python (with Google Colaboratory as the execution environment). Specifically, students learn data visualization and various data analysis techniques including statistical methods and machine learning. The goal of this course is to understand various aspects of data analysis and machine learning techniques. Before/after each class, students will be expected to spend one hour understanding the course content. The final grade will be calculated based on the following components: reports (50%), midterm examination (10%), final examination (30%), and in-class participation (10%).
【Default language used in class】 日本語 / Japanese",データサイエンスの基本 / Google ColabとPython基礎 / データ可視化１ / データ可視化２ / データ分析: 回帰 / データ分析: 回帰 / データ分析: 分類 / 中間的なまとめと演習 / データ分析: クラスタリング / 機械学習概論 / ニューラルネットワーク / ニューラルネットワーク / 畳み込みニューラルネットワーク / Pythonデータ分析の応用,111
0.3889,COT100XE（計算基盤 / Computing technologies 100）プログラミング言語Ｃ＋＋／Programming Language C++,和佐　州洋（Kunihiro WASA）,https://syllabus.hosei.ac.jp/web/preview.php?no_id=2513534&nendo=2025&gakubueng=AP&t_mode=pc&radd=,C言語既修者を対象に，オブジェクト指向の要素を取り入れたC++言語の基礎を学び，与えられた問題を論理的な構造の中で捉え，プログラムを作成することで解決できるような素養を身につける．,C言語からC++言語への重要な差分であるオブジェクト指向（カプセル化，ポリモーフィズム，継承）について理解する．またC言語と異なるプログラム作成方針，書式について理解し，それらを用いたC++プログラム作成能力を養成することを目標とする．,"【Outline (in English)】 The prerequisite subject of this course is C language.In this course, you will learn the basics of C++ language incorporating object-oriented programming. You will grasp the given problem in the logical structure and will acquire the ability to solve those problems. By the end of this course, students should be able to do the followings: - Students can explain the difference between C language and C++ language - Students can implement programs written in C++ by using features of C++language. Before/after each class meeting, students will be expected to spend four hours to understand the course content. Your overall grade in the class will be decided based on the following Term-end report: 60%、Short reports: 40%.
【Default language used in class】 日本語 / Japanese",導入 / クラスの概要 / クラスの詳細 / 配列・ポインタ / 参照 / 関数オーバーロード / 演算子オーバーロード / 継承 / テンプレートと例外処理 / 標準テンプレートライブラリ (STL) / 仮想関数 (virtual function) / 実行型情報とキャスト演算子，名前空間，変換関数，その他の機能 / ・初期化子リスト(C++11)・オブジェクト指向プログラミングの例 / まとめ,1
0.3805,COT100XE（計算基盤 / Computing technologies 100）プログラミング言語Ｃ（情報）／Programming Language C,平原　誠（Hirahara MAKOTO）,https://syllabus.hosei.ac.jp/web/preview.php?no_id=2513847&nendo=2025&gakubueng=AP&t_mode=pc&radd=,社会の様々なシステムはコンピュータのプログラムで構成され、様々なプログラムを作ることで、所定の処理をコンピュータに行わせることが可能になる。この講義では与えられた問題を論理的な構造の中で捉え、アルゴリズム化を行いプログラミング言語Cによって表現し、解決できるような素養を身につける。,プログラミングスキルの基礎を築くには，変数，配列，構文，関数などの基本の理解に加え，数々の実践が不可欠である．パソコンを用いて具体的にコーディング（コードを作成）し，実行できるようにするのが目標である．,"【Outline (in English)】 We need to write a computer program (sequence of instructions) to make a computer do what we want it to do. This course aims to develop basic computer programming skills using C programming language. No prior programming experience is needed. Students should bring laptop computers to do various exercises in class. The course will cover the basics of C programming language including data types, variables, operators, expressions, control flow, file handling, functions, pointers, addresses, arrays, structures, and storage management. At the end of this course, students are expected to write basic programs in C language. Students will be expected to have completed the required assignments after each class meeting. Your study time will be more than four hours for a class. Final grade will be calculated according to the following process: homework (20%) and term-end examination (80%).
【Default language used in class】 日本語 / Japanese",導入 / 変数と配列 / 演算子 / 文字と文字列 / アルゴリズム / 制御（選択） / 制御（繰り返し） / システム標準関数（入出力関数） / システム標準関数（その他の関数） / 関数 / ポインタ / ポインタと関数 / 構造体と共用体 / 再帰,70
0.3792,COT100XE（計算基盤 / Computing technologies 100）プログラミング言語Ｃ演習（情報）／Seminar on Programming Language C,尾川　浩一（Ogawa KOICHI）,https://syllabus.hosei.ac.jp/web/preview.php?no_id=2513850&nendo=2025&gakubueng=AP&t_mode=pc&radd=,社会の様々なシステムはコンピュータのプログラムで構成され、様々なプログラムを作ることで、所定の処理をコンピュータに行わせることが可能になる。この講義では与えられた問題を論理的な構造の中で捉え、アルゴリズム化を行いプログラミング言語Cによって表現し、解決できるような素養を身につける。,プログラミング言語Cの講義で学んだことを，パソコンを用いて具体的にコーディング（コードを作成）し，実行できるようにするのが目標である．,"【Outline (in English)】 【Course outline】 Various systems in society are composed of computer programs, and we can make computers perform predetermined processing by creating various programs. In this lecture, you will acquire the skills to solve a given problem with a programming language C. 【Learning Objectives】 The goal of this course is to get a skill to write a program with C language. 【Learning activities outside of classroom】 Students will be expected to have completed the required assignments after each class meeting . Your study time will be more than four hours for a class. 【Grading Criteria /Policy】 Final grade will be calculated according to the following process: short reports (20%), term end examination (80%).
【Default language used in class】 日本語 / Japanese",導入 / 変数と配列 / 演算子 / 文字と文字列 / アルゴリズム / 制御（選択） / 制御（繰り返し） / システム標準関数（入出力関数） / システム標準関数（その他の関数） / 関数 / ポインタ / ポインタと関数 / 構造体と共用体 / 再帰,73
0.3765,COT100XE（計算基盤 / Computing technologies 100）プログラミング言語Ｃ演習（情報）／Seminar on Programming Language C,平原　誠（Hirahara MAKOTO）,https://syllabus.hosei.ac.jp/web/preview.php?no_id=2513849&nendo=2025&gakubueng=AP&t_mode=pc&radd=,社会の様々なシステムはコンピュータのプログラムで構成され、様々なプログラムを作ることで、所定の処理をコンピュータに行わせることが可能になる。この講義では与えられた問題を論理的な構造の中で捉え、アルゴリズム化を行いプログラミング言語Cによって表現し、解決できるような素養を身につける。,プログラミングスキルの基礎を築くには，変数，配列，構文，関数などの基本の理解に加え，数々の実践が不可欠である．プログラミング言語Cで学んだことを，パソコンを用いて具体的にコーディング（コードを作成）し，実行できるようにするのが目標である．,"【Outline (in English)】 We need to write a computer program (sequence of instructions) to make a computer do what we want it to do. This course aims to develop basic computer programming skills using C programming language. No prior programming experience is needed. Students should bring laptop computers to do various exercises in class. The course will cover the basics of C programming language including data types, variables, operators, expressions, control flow, file handling, functions, pointers, addresses, arrays, structures, and storage management. At the end of this course, students are expected to write basic programs in C language. Students will be expected to have completed the required assignments after each class meeting. Your study time will be more than four hours for a class. Final grade will be calculated according to the following process: homework (20%) and term-end examination (80%).
【Default language used in class】 日本語 / Japanese",導入 / 変数と配列 / 演算子 / 文字と文字列 / アルゴリズム / 制御（選択） / 制御（繰り返し） / システム標準関数（入出力関数） / システム標準関数（その他の関数） / 関数 / ポインタ / ポインタと関数 / 構造体と共用体 / 再帰,72
0.374,COT300XE（計算基盤 / Computing technologies 300）プログラミング言語理論・設計／Programming language theory and design,和佐　州洋（Kunihiro WASA）,https://syllabus.hosei.ac.jp/web/preview.php?no_id=2513830&nendo=2025&gakubueng=AP&t_mode=pc&radd=,人類はこれまで多くのプログラミング言語を開発してきた．これら開発されてきたプログラミング言語には，しばしば共通した仕組みが現れてくる．本講義では，この共通する仕組みに関する数学的背景を理解することを目的とする．,プログラミング言語の基礎的な概念を理解する．具体的には， (1) 推論規則や導出木を用いてプログラミング言語の意味論などが記述できることを理解する (2) 条件分岐や，関数，リストがどのような推論規則で記述されているか理解する (3) 型システムについて説明できる ことを目標とする．,"【Outline (in English)】 We have developed many programming languages in the past. These programming languages often have a common mechanism such as if-statements, types, functions, etc. In this course, students learn the mathematical background of these common mechanisms. By the end of this course, students should be able to do the followings: - Students can describe the semantics of programming language by using inference rules. - Students understand how if-statements, functions, lists are expressed by inference rules. - Students can explain a type system. Before/after each class meeting, students will be expected to spend four hours to understand the course content. Your overall grade in the class will be decided based on the following Term-end report: 60%, Mid-term exam: 40%.
【Default language used in class】 日本語 / Japanese",本講義の概要，導出システム / メタ定理 / 整数と真偽値の評価 / 定義，変数，環境 / 高階関数・再帰関数 / 名無し表現 / 中間試験 / リストとパターンマッチング / 単純型システムと型安全 / 多相的型システム / 型推論 / ラムダ計算 / まとめ / 期末試験,53
0.3677,COT300XE（計算基盤 / Computing technologies 300）コンパイラ／Compiler,和佐　州洋（Kunihiro WASA）,https://syllabus.hosei.ac.jp/web/preview.php?no_id=2513817&nendo=2025&gakubueng=AP&t_mode=pc&radd=,コンパイラは，コンピュータを利用する上で必要不可欠なソフトウェアのひとつであり，計算機科学におけるさまざまな知識が盛り込まれている．本講義では，比較的単純な言語に対するコンパイラの作成方法の理論的背景を理解することで，コンパイラの各構成要素を理解することを目的とする．,(1) コンパイラの概要を説明できること． (2) 字句解析の仕組みを説明できること． (3) 構文解析の仕組みを説明できること． (4) コード生成とその実行方法を説明できること．,"【Outline (in English)】 This course introduces students to the design of compilers for programming languages. In particular, students will learn the theoretical background of each component of compilers for a variant of PL/0 as an example. By the end of this course, students should be able to do the following: (1) Students can explain the outline of the process of compilers. (2) Students can explain how lexical analysis works. (3) Students can explain how syntax analysis works. (4) Students can explain how a code generator works. Before/after each class meeting, students will be expected to spend four hours to understand the course content. Your overall grade in the class will be decided based on the following Term-end report: 60%, Short tests: 40%.
【Default language used in class】 日本語 / Japanese",導入 / 文法と言語 / 字句解析 (1) / 字句解析 (2) / 構文解析 (1) / 構文解析 (2) / 中間試験 / 意味解析 (1) / 意味解析 (2) / 誤り処理，実行時環境 / コード生成 (1) / コード生成 (2) / 最適化とまとめ / 期末試験,40
0.3652,COT300XE（計算基盤 / Computing technologies 300）マルチモーダル情報処理／Multi-modal Information Processing,倉掛　正治（Shoji KURAKAKE）,https://syllabus.hosei.ac.jp/web/preview.php?no_id=2513841&nendo=2025&gakubueng=AP&t_mode=pc&radd=,マルチモーダル情報処理とは、chatGPT4.0 等のように画像・音声・テキストといった複数のモーダルのデータをコンピュータで処理して予測や分類や生成を行う技術のことである。本講義では、単一モーダルの処理としてディープニューラルネットワークを用いた画像分類と音声処理を学び、次にそれらの発展形として大規模言語モデルによるマルチモーダル処理の例を学ぶ。また、MATLAB環境あるいはGoogle Colaboratory環境で学んだ技術を実際に使用して（提供されるコードを動作させる）、講義内容の理解を深めていく。,・畳み込みニューラルネットワークの処理を理解する。 ・深層ネットワークで時系列データを処理する方法を理解する。 ・大規模言語モデルによる画像生成や文章生成の仕組みを理解し、その実践を体験する。 ・MATLAB、あるいはGoogle Colaboratory を使って、画像の分類が行えるようになる。,"【Outline (in English)】 Multimodal information processing is about technologies for prediction and classification using different modal data, such as image, audio and text. ChatGPT4.0 is an its typical example. Students learn single modal processing technologies including convolutional neural networks for image classification and RNN, LSTM for speech data and sequential data processing. Students also learn Transformer technology and the applications of Large Language Model: LLM for multimodal tasks. Student will have opportunities to use MATLAB code or code for Google Colaboratory provided by the lecturer and deepen the level of understanding for technologies learned through the course. [Learning activities outside of classroom] The review and the preparation of each lesson will take 4 hours. The way to use MATLAB or Google Colaboratory should be learnt by students themselves. The help form the staff at the software center for the setting related things is available. [Grading Criteria /Policy] Grade is determined 40% by the submission of the assignment for each lesson and 60% by the evaluation of 3 reports.
【Default language used in class】 日本語 / Japanese",マルチモーダル情報処理とは / 機械学習の概要 / 画像処理における畳み込み（コンボリューション）処理 / 畳み込みニューラルネットワーク（CNN）による画像分類 / CNNにおける学習アリゴリズム / CNNの発展形と転移学習 / 深層ネットワークにおける最適化 / 系列データの表現と処理の基礎 / RNNによる系列データのモデル化 / 系列データ処理の発展形 / Transformerにおけるアテンション機構マルチモーダル処理の仕組み / Transformerの処理概要大規模言語モデルによるマルチモーダル処理 / 大規模言語モデルの利用 / 正則化処理,64
